seller_id,seller_city,seller_state,total_orders,total_revenue,avg_review_score,avg_delivery_days,cancellation_rate,on_time_rate,cluster,grade,segment
391fc6631aebcf3004804e51b40bcf1e,ibitinga,SP,526,51007.0,3.95,13.9,0.0,89.15,3,A,Premium
c3cfdc648177fdbbbb35635a37472c53,curitiba,PR,278,50201.0,4.45,9.3,0.0,97.77,3,A,Premium
17a053fcb14bd219540cbde0df490be0,mogi guacu,SP,125,50024.0,4.21,11.6,0.0,91.33,3,A,Premium
06a2c3af7b3aee5d69171b0e14f0ee87,sao luis,MA,392,48744.0,4.0,17.3,0.0,75.86,3,A,Premium
850f4f8af5ea87287ac68de36e29107f,sao paulo,SP,187,48457.0,4.29,9.7,0.0,93.23,3,A,Premium
b33e7c55446eabf8fe1a42d037ac7d6d,pradopolis,SP,152,47724.0,4.15,16.0,0.0,85.16,3,A,Premium
712e6ed8aa4aa1fa65dab41fed5737e4,videira,SC,79,46808.0,3.46,23.3,0.0,77.27,2,B,Stable
eeb6de78f79159600292e314a77cbd18,lages,SC,83,46797.0,4.43,11.6,0.0,95.24,3,A,Premium
2eb70248d66e0e3ef83659f71b244378,campinas,SP,202,45985.0,2.71,17.5,0.0,79.81,3,A,Premium
ba90964cff9b9e0e6f32b23b82465f7b,guarulhos,SP,38,45522.0,4.42,9.6,0.0,94.74,2,B,Stable
634964b17796e64304cadf1ad3050fb7,rio de janeiro,RJ,268,45465.0,3.86,14.1,0.31,89.57,3,A,Premium
7142540dd4c91e2237acb7e911c4eba2,penapolis,SP,319,44644.0,4.04,14.3,0.0,91.02,3,A,Premium
834f3294fba9f932f56edc879193f925,araraquara,SP,66,44216.0,4.55,13.9,0.0,93.94,2,B,Stable
b839e41795b7f3ad94cc2014a52f6796,sao caetano do sul,SP,33,43751.0,4.03,6.5,0.0,97.22,2,B,Stable
1835b56ce799e6a4dc4eddc053f04066,ibitinga,SP,423,42367.0,3.59,12.4,0.0,88.39,3,A,Premium
c3867b4666c7d76867627c2f7fb22e21,guara,SP,245,42359.0,3.85,14.7,1.92,82.76,3,A,Premium
dbc22125167c298ef99da25668e1011f,borda da mata,MG,406,41918.0,4.23,11.0,0.93,94.88,3,A,Premium
7299e27ed73d2ad986de7f7c77d919fa,araguari,MG,338,41591.0,4.42,10.8,0.28,94.46,3,A,Premium
7178f9f4dd81dcef02f62acdf8151e01,videira,SC,203,41549.0,4.03,15.1,0.0,94.95,3,A,Premium
c70c1b0d8ca86052f45a432a38b73958,hortolandia,SP,261,40430.0,4.3,7.2,0.0,91.42,3,A,Premium
53e4c6e0f4312d4d2107a8c9cddf45cd,pedreira,SP,473,40277.0,4.05,11.6,0.38,92.95,3,A,Premium
855668e0971d4dfd7bef1b6a4133b41b,itatiba,SP,312,40134.0,3.73,15.8,1.82,82.07,3,A,Premium
e9bc59e7b60fc3063eb2290deda4cced,maringa,PR,216,39049.0,3.94,14.1,0.37,84.39,3,A,Premium
87142160b41353c4e5fca2360caf6f92,porto alegre,RS,305,38709.0,4.37,10.3,0.0,94.44,3,A,Premium
0241d4d5d36f10f80c644447315af0bd,curitiba,PR,238,38501.0,4.28,10.5,0.0,94.38,3,A,Premium
59417c56835dd8e2e72f91f809cd4092,limeira,SP,18,37659.0,4.28,12.0,0.0,100.0,2,B,Stable
88460e8ebdecbfecb5f9601833981930,maringa,PR,248,37569.0,3.35,17.9,0.32,80.39,3,A,Premium
76d5af76d0271110f9af36c92573f765,sao paulo,SP,131,37554.0,4.08,11.0,0.0,89.31,3,A,Premium
9c0e69c7bf2619675bbadf47b43f655a,sao jose dos campos,SP,157,37465.0,4.0,14.6,0.48,88.1,3,A,Premium
70a12e78e608ac31179aea7f8422044b,jacarei,SP,315,36462.0,3.77,14.2,0.0,87.8,3,A,Premium
2528513dd95219a6013d4d05176e391a,osasco,SP,161,36438.0,3.95,10.1,0.6,94.01,3,A,Premium
1554a68530182680ad5c8b042c3ab563,monte siao,MG,247,36120.0,4.25,13.6,0.0,92.28,3,A,Premium
5c243662ce92d84573bfaff24c3e3700,sao paulo,SP,98,35128.0,4.13,10.2,0.0,97.03,3,A,Premium
70eea00b476a314817cefde4aad4f89a,itatiba,SP,108,35011.0,4.35,12.9,0.0,91.3,3,A,Premium
7681ef142fd2c19048da7430856b5588,guarulhos,SP,59,34954.0,4.13,10.1,0.0,87.18,2,B,Stable
001cca7ae9ae17fb1caed9dfb1094831,cariacica,ES,200,33937.0,3.9,12.6,0.0,92.47,3,A,Premium
e59aa562b9f8076dd550fcddf0e73491,curitiba,PR,70,33807.0,4.25,13.3,0.0,89.29,2,B,Stable
1900267e848ceeba8fa32d80c1a5f5a8,ibitinga,SP,411,33372.0,3.85,12.3,0.0,89.1,3,A,Premium
d1c281d3ae149232351cd8c8cc885f0d,ibitinga,SP,215,33104.0,3.81,11.9,0.0,91.16,3,A,Premium
0b90b6df587eb83608a64ea8b390cf07,maringa,PR,164,32995.0,4.0,14.1,0.0,95.83,3,A,Premium
9f505651f4a6abe901a56cdc21508025,sao paulo,SP,397,32464.0,4.28,7.7,0.0,94.43,3,A,Premium
d2374cbcbb3ca4ab1086534108cc3ab7,ibitinga,SP,524,32329.0,3.64,13.6,0.15,93.3,3,A,Premium
59b22a78efb79a4797979612b885db36,uberlandia,MG,125,32081.0,3.97,12.0,0.0,87.22,3,A,Premium
d23019c84ffae2d5ef2270367b8605fc,londrina,PR,39,31953.0,4.41,10.7,0.0,97.44,2,B,Stable
a3a38f4affed601eb87a97788c949667,joinville,SC,254,31795.0,4.39,12.0,0.0,94.3,3,A,Premium
8b321bb669392f5163d04c59e235e066,sao paulo,SP,943,31750.0,4.0,12.2,0.0,88.61,3,A,Premium
900ba814c251a692506d7834c1218441,salto,SP,88,31454.0,4.19,12.1,0.0,84.09,2,B,Stable
16090f2ca825584b5a147ab24aa30c86,atibaia,SP,402,31121.0,4.04,8.8,0.0,88.29,3,A,Premium
897060da8b9a21f655304d50fd935913,ribeirao preto,SP,317,30604.0,3.4,14.3,0.46,84.56,3,A,Premium
12b9676b00f60f3b700e83af21824c0e,montenegro,RS,135,30581.0,4.51,14.8,0.74,96.32,3,A,Premium
7e1fb0a3ebfb01ffb3a7dae98bf3238d,franca,SP,159,30346.0,4.13,15.1,1.15,83.91,3,A,Premium
dc4a0fc896dc34b0d5bfec8438291c80,ibitinga,SP,231,29919.0,3.74,13.4,0.0,90.31,3,A,Premium
c003204e1ab016dfa150abc119207b24,cajamar,SP,197,29867.0,4.42,9.3,0.0,92.57,3,A,Premium
b32be1695eb7ec5f10f72d9610a12527,caxias do sul,RS,45,29839.0,4.09,11.9,0.0,93.48,2,B,Stable
1c68394e931a64f90ea236c5ea590300,sarandi,PR,142,29143.0,3.94,15.2,0.0,96.63,3,A,Premium
de23c3b98a88888289c6f5cc1209054a,sao paulo,SP,164,29086.0,4.28,10.3,0.55,89.5,3,A,Premium
a416b6a846a11724393025641d4edd5e,sao paulo,SP,162,28672.0,4.16,12.1,2.76,85.08,3,A,Premium
1a3df491d1c4f1589fc2b934ada68bf2,joinville,SC,167,27877.0,4.16,14.5,0.0,91.11,2,B,Stable
710e3548e02bc1d2831dfc4f1b5b14d4,rolandia,PR,136,27851.0,3.4,13.8,0.0,92.25,3,A,Premium
f62d7bb4a613ec758a03342d46b580b2,vicosa,MG,32,26793.0,4.38,13.4,0.0,87.5,2,B,Stable
b94cc9f10ddc85e4ba73a6f7974e7101,macae,RJ,39,26372.0,4.3,10.1,0.0,92.31,2,B,Stable
7ad32824caee82087b3e2e5f33b1bf32,ibitinga,SP,151,26054.0,3.77,11.0,0.0,85.33,3,A,Premium
8f2ce03f928b567e3d56181ae20ae952,pirituba,SP,153,25559.0,4.06,14.0,0.0,84.0,3,A,Premium
729f06993dac8e860d4f02d7088ca48a,limeira,SP,96,25491.0,4.29,10.3,0.0,88.7,3,A,Premium
f45122a9ab94eb4f3f8953578bc0c560,piracicaba,SP,187,25416.0,3.91,11.9,0.0,91.5,3,A,Premium
612170e34b97004b3ba37eae81836b4c,novo hamburgo,RS,107,25389.0,4.43,10.5,0.0,98.18,3,A,Premium
b1b3948701c5c72445495bd161b83a4c,sao paulo,SP,18,25189.0,1.72,22.9,11.11,27.78,0,D,At Risk
8444e55c1f13cd5c179851e5ca5ebd00,congonhal,MG,99,24953.0,3.07,20.8,3.67,83.49,0,D,At Risk
2b3e4a2a3ea8e01938cabda2a3e5cc79,sao paulo,SP,52,24537.0,4.39,8.1,0.0,100.0,2,B,Stable
05ff92fedb5be47920fea08e501238b9,santo angelo,RS,59,24496.0,4.17,12.2,0.0,92.19,2,B,Stable
06e5eefc71ec47ae763c5c6f8db7064f,porto alegre,RS,92,24383.0,3.9,10.5,0.0,95.79,3,A,Premium
744dac408745240a2c2528fb1b6028f3,colombo,PR,79,24378.0,4.55,10.7,0.0,97.62,3,A,Premium
85d9eb9ddc5d00ca9336a2219c97bb13,belo horizonte,MG,509,24208.0,4.17,14.3,0.19,94.67,3,A,Premium
004c9cd9d87a3c30c522c48c4fc07416,ibitinga,SP,158,24134.0,4.13,14.3,0.0,90.34,3,A,Premium
59fb871bf6f4522a87ba567b42dafecf,sao paulo,SP,126,23909.0,4.22,11.6,0.0,91.47,3,A,Premium
40db9e9aa57f7bb151bcda6b0f9bdbb7,recife,PE,12,23825.0,2.36,14.4,0.0,91.67,2,B,Stable
0dd184061fb0eaa7ca37932c68ab91c5,guarulhos,SP,161,23759.0,3.95,10.8,0.0,90.16,3,A,Premium
ff69aa92bb6b1bf9b8b7a51c2ed9cf8b,sao paulo,SP,20,23698.0,3.65,11.0,0.0,75.0,2,B,Stable
f457c46070d02cadd8a68551231220dd,maringa,PR,199,23623.0,3.79,14.1,1.24,92.15,3,A,Premium
00ee68308b45bc5e2660cd833c3f81cc,sao paulo,SP,135,23543.0,4.33,8.7,0.0,91.91,3,A,Premium
7b0df942f46435babab05d49b744b2c4,braganca paulista,SP,32,23273.0,4.39,10.6,0.0,90.63,2,B,Stable
